"","STATE","num_vaers_child","vaccine_rate_child","sd_child","pop_vax_child","pop","perc_vaers_child","exp_perc_itp","exp_perc_severe"
"1","AK",1,0.902,0.043,5885.380875,18423,0.000169912537733592,5e-05,1e-06
"2","AL",1,0.92,0.056,31882.4658333333,97849,3.13652025921563e-05,5e-05,1e-06
"3","AR",1,0.891,0.054,20102.9090625,63705,4.97440443515412e-05,5e-05,1e-06
"4","AZ",1,0.841,0.063,43205.8318541667,145057,2.3145023648088e-05,5e-05,1e-06
"5","CA",16,0.905,0.047,267691.628020833,835177,5.97702666993933e-05,5e-05,1e-06
"6","CO",3,0.874,0.054,34508.9431666667,111484,8.69339865179586e-05,5e-05,1e-06
"7","FL",2,0.912,0.048,117029.037,362319,1.70897757622324e-05,5e-05,1e-06
"8","GA",4,0.942,0.039,73183.646375,219359,5.46570196776424e-05,5e-05,1e-06
"9","IA",1,0.911,0.052,21142.0135208333,65527,4.72991845840322e-05,5e-05,1e-06
"10","ID",2,0.897,0.051,12070.85425,37996,0.000165688356314964,5e-05,1e-06
"11","IL",5,0.932,0.028,87337.4093333333,264592,5.72492364745664e-05,5e-05,1e-06
"12","IN",1,0.915,0.045,45361.9446875,139979,2.2044910263196e-05,5e-05,1e-06
"13","KS",3,0.934,0.04,21978.7907083333,66443,0.000136495225775208,5e-05,1e-06
"14","KY",2,0.886,0.055,28878.8746666667,92032,6.92547761325511e-05,5e-05,1e-06
"15","LA",1,0.918,0.041,33516.160875,103087,2.98363527890185e-05,5e-05,1e-06
"16","MA",2,0.947,0.032,40831.08875,121740,4.8982284362917e-05,5e-05,1e-06
"17","MD",1,0.949,0.033,41234.9396875,122685,2.42512783474045e-05,5e-05,1e-06
"18","ME",1,0.972,0.02,7455.7665,21658,0.000134124372054838,5e-05,1e-06
"19","MI",2,0.874,0.065,59337.5897916667,191695,3.37054472050848e-05,5e-05,1e-06
"20","MN",4,0.943,0.042,38931.2835,116568,0.00010274513554119,5e-05,1e-06
"21","MO",1,0.903,0.047,40075.704375,125310,2.49527741457196e-05,5e-05,1e-06
"22","MS",1,0.95,0.043,21671.6177083333,64411,4.61433019656614e-05,5e-05,1e-06
"23","MT",2,0.934,0.044,6812.98516666667,20596,0.000293557075360333,5e-05,1e-06
"24","NC",3,0.943,0.041,67242.6974583333,201338,4.46145100270396e-05,5e-05,1e-06
"25","NM",2,0.946,0.03,15073.1895416667,44989,0.00013268591856232,5e-05,1e-06
"26","NV",2,0.904,0.042,19065.925,59550,0.000104899185326702,5e-05,1e-06
"27","NY",5,0.931,0.029,129655.443458333,393218,3.85637491695967e-05,5e-05,1e-06
"28","OH",4,0.956,0.029,78693.19975,232419,5.0830313327042e-05,5e-05,1e-06
"29","OR",2,0.851,0.06,23221.6447708333,77047,8.61265435647359e-05,5e-05,1e-06
"30","PA",6,0.92,0.033,77630.4433333333,238252,7.72892661998195e-05,5e-05,1e-06
"31","SC",1,0.908,0.053,31037.937,96516,3.22186361806199e-05,5e-05,1e-06
"32","SD",1,0.941,0.042,6729.7379375,20193,0.000148594196280321,5e-05,1e-06
"33","TN",2,0.958,0.024,45328.3487916667,133597,4.41224984654126e-05,5e-05,1e-06
"34","TX",3,0.904,0.032,209410.131,654066,1.43259544591947e-05,5e-05,1e-06
"35","VA",3,0.915,0.051,55223.1665625,170409,5.43250267368258e-05,5e-05,1e-06
"36","WA",6,0.863,0.062,45289.6826458333,148177,0.000132480504377127,5e-05,1e-06
"37","WI",1,0.932,0.042,37547.9694166667,113753,2.66325986607447e-05,5e-05,1e-06
