STATE,vaccine_rate_child,sd_child,pop_vax_child,pop
AL,0.92,0.055999999999999994,90021.08,97849
AK,0.902,0.043,16617.546000000002,18423
AZ,0.841,0.063,121992.93699999999,145057
AR,0.8909999999999999,0.054000000000000006,56761.15499999999,63705
CA,0.905,0.047,755835.185,835177
CO,0.8740000000000001,0.054000000000000006,97437.01600000002,111484
CT,0.932,0.046,58533.328,62804
DE,0.9079999999999999,0.048,16736.255999999998,18432
FL,0.912,0.048,330434.928,362319
GA,0.9420000000000001,0.039,206636.178,219359
HI,0.925,0.037000000000000005,28455.775,30763
ID,0.897,0.051,34082.412000000004,37996
IL,0.932,0.027999999999999997,246599.744,264592
IN,0.915,0.045,128080.785,139979
IA,0.9109999999999999,0.052000000000000005,59695.096999999994,65527
KS,0.934,0.04,62057.762,66443
KY,0.8859999999999999,0.055,81540.35199999998,92032
LA,0.9179999999999999,0.040999999999999995,94633.866,103087
ME,0.972,0.02,21051.576,21658
MD,0.9490000000000001,0.033,116428.065,122685
MA,0.9470000000000001,0.032,115287.78000000001,121740
MI,0.8740000000000001,0.065,167541.43000000002,191695
MN,0.943,0.042,109923.624,116568
MS,0.95,0.043,61190.45,64411
MO,0.903,0.047,113154.93000000001,125310
MT,0.934,0.044000000000000004,19236.664,20596
NE,0.96,0.028999999999999998,41814.72,43557
NV,0.904,0.042,53833.200000000004,59550
NH,0.9309999999999999,0.038,20139.392,21632
NJ,0.9329999999999999,0.038,163814.27399999998,175578
NM,0.946,0.03,42559.594,44989
NY,0.9309999999999999,0.028999999999999998,366085.958,393218
NC,0.943,0.040999999999999995,189861.734,201338
ND,0.9490000000000001,0.033,16250.676000000001,17124
OH,0.956,0.028999999999999998,222192.56399999998,232419
OK,0.92,0.054000000000000006,81394.24,88472
OR,0.851,0.06,65566.997,77047
PA,0.92,0.033,219191.84,238252
RI,0.946,0.037000000000000005,17311.8,18300
SC,0.9079999999999999,0.053,87636.52799999999,96516
SD,0.941,0.042,19001.612999999998,20193
TN,0.958,0.024,127985.92599999999,133597
TX,0.904,0.032,591275.664,654066
UT,0.853,0.064,72238.864,84688
VT,0.932,0.034,9509.196,10203
VA,0.915,0.051,155924.23500000002,170409
WA,0.863,0.062,127876.751,148177
WV,0.889,0.054000000000000006,30364.684,34156
WI,0.932,0.042,106017.796,113753
WY,0.904,0.05,11583.856,12814
